timestamp,funding_sentiment,rsi_sentiment,bb_sentiment,sentiment_score,sentiment_label,sentiment_value,symbol,source
1640995200000,0.1,-1.0,0.0,-0.26,Fear,37.0,BTC/USDT,Binance
1640998800000,0.1,0.9999999999965743,0.35355339059325774,0.44606601717694955,Greed,72.30330085884748,BTC/USDT,Binance
1641002400000,0.1,0.9999999999958942,0.3783770464670124,0.453513113938872,Greed,72.6756556969436,BTC/USDT,Binance
1641006000000,0.1,0.9138235871913852,0.28527964140942763,0.3997309685802438,Greed,69.9865484290122,BTC/USDT,Binance
1641009600000,0.1,0.16225244571699576,-0.3687984246240448,-0.021963793672114693,Neutral,48.90181031639427,BTC/USDT,Binance
1641013200000,0.1,0.7171703610219743,0.9723403747119099,0.5468532207201653,Greed,77.34266103600827,BTC/USDT,Binance
1641016800000,0.1,0.33671955017662697,0.37021266689230004,0.2520796651206781,Greed,62.6039832560339,BTC/USDT,Binance
1641020400000,0.1,0.4582486811329454,0.727842414407655,0.3958273286621801,Greed,69.791366433109,BTC/USDT,Binance
1641024000000,0.1,0.3771453907855962,0.49759826303746557,0.30242309614691854,Greed,65.12115480734593,BTC/USDT,Binance
1641027600000,0.1,0.38679979047286195,0.4874208945428524,0.3022662055047143,Greed,65.11331027523572,BTC/USDT,Binance
1641031200000,0.1,0.13962406897720683,-0.14532439362598693,0.03828990260536599,Neutral,51.9144951302683,BTC/USDT,Binance
1641034800000,0.1,0.06393316852783187,-0.38542238663518036,-0.05644676543220453,Neutral,47.17766172838977,BTC/USDT,Binance
1641038400000,0.1,0.21149920500589744,0.3602236875661837,0.21151686777162437,Greed,60.57584338858122,BTC/USDT,Binance
1641042000000,0.1,0.17719235292944943,0.2067280251514676,0.15517611342427512,Neutral,57.75880567121375,BTC/USDT,Binance
1641045600000,0.1,0.12325536053108024,-0.04552219881558206,0.06331994851464946,Neutral,53.16599742573247,BTC/USDT,Binance
1641049200000,0.1,0.18840681786166882,0.6664139546944454,0.29644623176683427,Greed,64.8223115883417,BTC/USDT,Binance
1641052800000,0.1,0.19753822583382785,0.731392346364611,0.31867917165953163,Greed,65.93395858297659,BTC/USDT,Binance
1641056400000,0.1,0.34014390148948054,1.3791730540832874,0.5557950866718304,Greed,77.78975433359152,BTC/USDT,Binance
1641060000000,0.1,0.2990890316899532,0.9006517510245902,0.399922234814363,Greed,69.99611174071815,BTC/USDT,Binance
1641063600000,0.1,0.05517390598799224,0.49000501186326817,0.20355367535537813,Greed,60.17768376776891,BTC/USDT,Binance
1641067200000,0.1,0.16966189210615837,0.5399561169117038,0.25288540270535864,Greed,62.64427013526793,BTC/USDT,Binance
1641070800000,0.1,0.05929972271016595,0.38510117590269166,0.17332026958385727,Neutral,58.66601347919287,BTC/USDT,Binance
1641074400000,0.1,0.1337713058996988,0.5245628784411904,0.23750025530226676,Greed,61.87501276511333,BTC/USDT,Binance
1641078000000,0.1,0.22006334321777032,0.9022004395719263,0.376679134836909,Greed,68.83395674184544,BTC/USDT,Binance
1641081600000,0.1,0.31779136989230183,0.7006479583476912,0.3455317984719979,Greed,67.2765899235999,BTC/USDT,Binance
1641085200000,0.1,0.24876649637298015,0.24488425367378475,0.18809522501402948,Neutral,59.404761250701476,BTC/USDT,Binance
1641088800000,0.1,0.14070344958250175,0.20076344916332411,0.14244006962374778,Neutral,57.12200348118739,BTC/USDT,Binance
1641092400000,0.1,0.14758339006126378,0.10736532956960576,0.11648461588926087,Neutral,55.82423079446305,BTC/USDT,Binance
1641096000000,0.1,-0.0027959728526403185,-0.6388091296259988,-0.15248153074359172,Neutral,42.37592346282042,BTC/USDT,Binance
1641099600000,0.1,-0.04826449006513386,-0.31971824843223107,-0.07039482154920948,Neutral,46.48025892253953,BTC/USDT,Binance
1641103200000,0.1,-0.05278672507017518,-0.27651314911330915,-0.05878996225504529,Neutral,47.06050188724774,BTC/USDT,Binance
1641106800000,0.1,-0.28379006038086485,-0.25040344887521926,-0.12025805277682522,Neutral,43.98709736115874,BTC/USDT,Binance
1641110400000,0.1,-0.18280226308961772,-0.18665662221424095,-0.07083766559115759,Neutral,46.45811672044212,BTC/USDT,Binance
1641114000000,0.1,-0.03827877507919922,-0.10925485217753594,-0.004260088177020539,Neutral,49.78699559114897,BTC/USDT,Binance
1641117600000,0.1,-0.12341143237935938,-0.3585318426992109,-0.10458298252357108,Neutral,44.770850873821445,BTC/USDT,Binance
1641121200000,0.1,-0.05384943484751176,-0.23196344499793342,-0.045743863953633536,Neutral,47.712806802318326,BTC/USDT,Binance
1641124800000,0.1,-0.0911399392768449,-0.12001478805581678,-0.023346418199798494,Neutral,48.832679090010075,BTC/USDT,Binance
1641128400000,0.1,-0.38068583156744185,-0.43997488694726716,-0.20619821555441267,Fear,39.69008922227937,BTC/USDT,Binance
1641132000000,0.1,-0.3551882996142425,-0.4545333004066826,-0.20291648000627752,Fear,39.85417599968613,BTC/USDT,Binance
1641135600000,0.1,-0.036292054906434,0.14078991462865198,0.0713493579166654,Neutral,53.56746789583327,BTC/USDT,Binance
1641139200000,0.1,0.217747388984897,1.122239699536344,0.44199612655637227,Greed,72.09980632781861,BTC/USDT,Binance
1641142800000,0.1,0.032560764165412766,0.23303994872591272,0.11968021386739766,Neutral,55.98401069336988,BTC/USDT,Binance
1641146400000,0.1,0.06818759592117062,-0.5324474271772461,-0.09927794937682265,Neutral,45.03610253115887,BTC/USDT,Binance
1641150000000,0.1,-0.08116576674124545,-0.7859414217555138,-0.2201321565490278,Fear,38.99339217254861,BTC/USDT,Binance
