timestamp,funding_sentiment,rsi_sentiment,bb_sentiment,sentiment_score,sentiment_label,sentiment_value,symbol,source
1640995200000,0.1,-1.0,0.0,-0.26,Fear,37.0,XRP/USDT,Binance
1640998800000,0.1,0.9999990000004999,0.35355339059333524,0.4460657171781506,Greed,72.30328585890753,XRP/USDT,Binance
1641002400000,0.1,0.9999998064516317,0.5732748045772416,0.511982383308662,Greed,75.5991191654331,XRP/USDT,Binance
1641006000000,0.1,0.4090909090908977,0.16811306961495598,0.2131611936117561,Greed,60.658059680587805,XRP/USDT,Binance
1641009600000,0.1,-0.42056074766354073,-0.8095843240438225,-0.32904352151220895,Fear,33.547823924389554,XRP/USDT,Binance
1641013200000,0.1,0.16022099447513782,0.4067621376271362,0.2100949396306822,Greed,60.504746981534105,XRP/USDT,Binance
1641016800000,0.1,-0.06666666666666388,-0.33796044137987025,-0.08138813241396022,Neutral,45.93059337930199,XRP/USDT,Binance
1641020400000,0.1,0.06976744186046602,0.2559089117730877,0.13770290609006614,Neutral,56.885145304503304,XRP/USDT,Binance
1641024000000,0.1,0.010989010989013791,-0.03739767528666149,0.0320774007107057,Neutral,51.60387003553528,XRP/USDT,Binance
1641027600000,0.1,0.10596026490066521,0.5102936361573343,0.22487617031739984,Greed,61.24380851586999,XRP/USDT,Binance
1641031200000,0.1,-0.023391812865494473,-0.30305037135722057,-0.0579326552668145,Neutral,47.103367236659274,XRP/USDT,Binance
1641034800000,0.1,-0.014492753623186728,-0.2269693434478064,-0.03243862912129792,Neutral,48.37806854393511,XRP/USDT,Binance
1641038400000,0.1,0.0909090909090925,0.5990761371345699,0.24699556841309872,Greed,62.349778420654935,XRP/USDT,Binance
1641042000000,0.1,0.04218362282878502,0.1992242597960432,0.11242236478744846,Neutral,55.62111823937242,XRP/USDT,Binance
1641045600000,0.1,0.019417475728155723,-0.003112282471903538,0.04489155797687566,Neutral,52.24457789884378,XRP/USDT,Binance
1641049200000,0.1,0.05827505827505689,0.4583191949722971,0.1949782759742062,Neutral,59.74891379871031,XRP/USDT,Binance
1641052800000,0.1,0.05386416861826618,0.8992645799524361,0.3259386245712107,Greed,66.29693122856052,XRP/USDT,Binance
1641056400000,0.1,0.2058823529411778,1.4718918879434737,0.5433322722653955,Greed,77.16661361326977,XRP/USDT,Binance
1641060000000,0.1,0.39568345323741055,1.2100121627603326,0.5217086847993229,Greed,76.08543423996615,XRP/USDT,Binance
1641063600000,0.1,0.2820512820512835,1.0954860960334587,0.4532612134254227,Greed,72.66306067127113,XRP/USDT,Binance
1641067200000,0.1,0.21951219512195153,0.37507428891774963,0.21837594521191034,Greed,60.91879726059551,XRP/USDT,Binance
1641070800000,0.1,0.1454005934718107,0.3503196203992496,0.1887160641613181,Neutral,59.435803208065906,XRP/USDT,Binance
1641074400000,0.1,0.22522522522522365,0.4353674849545406,0.23817781305392927,Greed,61.90889065269647,XRP/USDT,Binance
1641078000000,0.1,0.24340175953079082,0.7342920599287168,0.3333081458378523,Greed,66.6654072918926,XRP/USDT,Binance
1641081600000,0.1,0.2148997134670472,0.21238657747264855,0.16818588728190872,Neutral,58.40929436409543,XRP/USDT,Binance
1641085200000,0.1,0.09424083769633626,-0.18504291236702142,0.01275937759879446,Neutral,50.63796887993972,XRP/USDT,Binance
1641088800000,0.1,0.014245014245012583,-0.12269546279824306,0.007464865434030861,Neutral,50.37324327170154,XRP/USDT,Binance
1641092400000,0.1,0.07738095238095397,-0.10388349530534091,0.03204923712268393,Neutral,51.6024618561342,XRP/USDT,Binance
1641096000000,0.1,-0.026881720430107663,-0.6274619184677181,-0.15630309166934775,Neutral,42.18484541653261,XRP/USDT,Binance
1641099600000,0.1,0.02051282051282115,-0.17384823433028995,-0.006000624145240635,Neutral,49.69996879273797,XRP/USDT,Binance
1641103200000,0.1,-0.08421052631578917,-0.3831906895225443,-0.10022036475150004,Neutral,44.988981762425,XRP/USDT,Binance
1641106800000,0.1,-0.25993883792048833,-0.30990442769424587,-0.13095297968442027,Neutral,43.45235101577899,XRP/USDT,Binance
1641110400000,0.1,-0.22619047619047478,-0.1492645718682707,-0.07263651441762364,Neutral,46.36817427911882,XRP/USDT,Binance
1641114000000,0.1,-0.13186813186813295,0.28068189455621484,0.08464412880642458,Neutral,54.23220644032123,XRP/USDT,Binance
1641117600000,0.1,-0.04819277108433894,-0.1495536570737933,-0.01932392844743967,Neutral,49.033803577628014,XRP/USDT,Binance
1641121200000,0.1,-0.02052785923753774,-0.033260252144346025,0.023863566585434877,Neutral,51.193178329271745,XRP/USDT,Binance
1641124800000,0.1,-0.005780346820808688,0.17727883694251667,0.0914495470365124,Neutral,54.57247735182562,XRP/USDT,Binance
1641128400000,0.1,-0.17431192660550593,-0.03843814481760055,-0.02382502142693193,Neutral,48.80874892865341,XRP/USDT,Binance
1641132000000,0.1,-0.014084507042251886,0.0880398415377659,0.06218660034865421,Neutral,53.10933001743271,XRP/USDT,Binance
1641135600000,0.1,0.3846153846153831,1.4990909172836644,0.6051118905697143,Extreme Greed,80.25559452848572,XRP/USDT,Binance
1641139200000,0.1,0.4545454545454541,1.5122643372758247,0.6300429375463836,Extreme Greed,81.50214687731918,XRP/USDT,Binance
1641142800000,0.1,0.3133640552995382,0.9418381703956047,0.4165606677085429,Greed,70.82803338542715,XRP/USDT,Binance
1641146400000,0.1,0.29840546697038745,0.46398517272311657,0.2687171919080512,Greed,63.43585959540257,XRP/USDT,Binance
1641150000000,0.1,0.2,0.3746266274356249,0.2123879882306875,Greed,60.61939941153438,XRP/USDT,Binance
