timestamp,funding_sentiment,rsi_sentiment,bb_sentiment,sentiment_score,sentiment_label,sentiment_value,symbol,source
1640995200000,0.08844999999999999,-1.0,0.0,-0.26461999999999997,Fear,36.769,ETH/USDT,Binance
1640998800000,0.08844999999999999,0.9999999998039215,0.35355339059326574,0.4414460171191561,Greed,72.0723008559578,ETH/USDT,Binance
1641002400000,0.08844999999999999,0.9999999998880597,0.5347423486010858,0.4958027045467436,Greed,74.79013522733717,ETH/USDT,Binance
1641006000000,0.08844999999999999,0.03875968992248886,-0.31779737016907483,-0.048331304073975796,Neutral,47.58343479630121,ETH/USDT,Binance
1641009600000,0.08844999999999999,-0.5727381426863215,-0.8591795984475594,-0.3941953223401643,Fear,30.290233882991785,ETH/USDT,Binance
1641013200000,0.08844999999999999,0.25799172621285904,0.6840745613747494,0.3179998862762825,Greed,65.89999431381412,ETH/USDT,Binance
1641016800000,0.08844999999999999,-0.137886597938148,-0.5369740553937302,-0.16707819599956347,Neutral,41.646090200021824,ETH/USDT,Binance
1641020400000,0.08844999999999999,-0.0847665847665857,-0.30826329256611174,-0.08252896319980924,Neutral,45.87355184000954,ETH/USDT,Binance
1641024000000,0.08844999999999999,-0.007875813263326705,0.03226205093432988,0.04269587130130095,Neutral,52.13479356506505,ETH/USDT,Binance
1641027600000,0.08844999999999999,-0.04609306409131108,-0.16541310180748525,-0.0280718497696389,Neutral,48.59640751151805,ETH/USDT,Binance
1641031200000,0.08844999999999999,-0.26257741579706617,-1.141892041282895,-0.3859608371239883,Fear,30.701958143800585,ETH/USDT,Binance
1641034800000,0.08844999999999999,-0.24817579468254677,-0.871141681973812,-0.30041524299690764,Fear,34.97923785015462,ETH/USDT,Binance
1641038400000,0.08844999999999999,-0.04581869290231879,-0.007099268555952665,0.019504611562518558,Neutral,50.97523057812593,ETH/USDT,Binance
1641042000000,0.08844999999999999,-0.08731599112724453,-0.2488071135664457,-0.06545693140810707,Neutral,46.72715342959465,ETH/USDT,Binance
1641045600000,0.08844999999999999,-0.15899659337256083,-0.6814288124069143,-0.21674762173384254,Fear,39.162618913307874,ETH/USDT,Binance
1641049200000,0.08844999999999999,0.001440845295906854,0.38185961547797254,0.1503701382321638,Neutral,57.51850691160819,ETH/USDT,Binance
1641052800000,0.08844999999999999,-0.003055481104262583,0.45290687262219054,0.17033541745537836,Neutral,58.516770872768916,ETH/USDT,Binance
1641056400000,0.08844999999999999,0.1717303916986056,1.288163086105783,0.4733480433413165,Greed,73.66740216706582,ETH/USDT,Binance
1641060000000,0.08844999999999999,0.20623616591280694,0.8951961189245679,0.3658096854512124,Greed,68.29048427256062,ETH/USDT,Binance
1641063600000,0.08844999999999999,0.05323008609952822,0.6943075273076444,0.2596412840221518,Greed,62.98206420110759,ETH/USDT,Binance
1641067200000,0.08844999999999999,0.27640268764715914,0.9273729435443947,0.39651268935746614,Greed,69.82563446787331,ETH/USDT,Binance
1641070800000,0.08844999999999999,0.1751245415229657,0.5661681072089191,0.25776779461956545,Greed,62.888389730978275,ETH/USDT,Binance
1641074400000,0.08844999999999999,0.18770889487870676,0.7084444763833617,0.3042260113786205,Greed,65.21130056893102,ETH/USDT,Binance
1641078000000,0.08844999999999999,0.24089828269484884,0.7716812514089808,0.33915386023114885,Greed,66.95769301155744,ETH/USDT,Binance
1641081600000,0.08844999999999999,0.42318647354706057,0.642835910650166,0.35518671525916795,Greed,67.7593357629584,ETH/USDT,Binance
1641085200000,0.08844999999999999,0.29719459036548784,0.31203536842669544,0.21814898763765497,Greed,60.90744938188275,ETH/USDT,Binance
1641088800000,0.08844999999999999,0.19369109444123978,0.28112276974364403,0.17782415925546513,Neutral,58.89120796277325,ETH/USDT,Binance
1641092400000,0.08844999999999999,0.2978590988299754,0.4649684225826265,0.26422825642378056,Greed,63.21141282118903,ETH/USDT,Binance
1641096000000,0.08844999999999999,0.14287280100838687,-0.2445910438542448,0.004864527146242609,Neutral,50.24322635731213,ETH/USDT,Binance
1641099600000,0.08844999999999999,0.1039303311561821,0.14397770973722968,0.10975241226802353,Neutral,55.48762061340118,ETH/USDT,Binance
1641103200000,0.08844999999999999,0.05793507664562569,-0.017431973712781934,0.04753093087985312,Neutral,52.37654654399265,ETH/USDT,Binance
1641106800000,0.08844999999999999,-0.08637161240007842,0.1417973219920512,0.05200771287759183,Neutral,52.60038564387959,ETH/USDT,Binance
1641110400000,0.08844999999999999,-0.05991707904239732,-0.007513798342399958,0.015150736784560812,Neutral,50.757536839228045,ETH/USDT,Binance
1641114000000,0.08844999999999999,0.04393695722097405,0.2579000945446228,0.12593111552967906,Neutral,56.296555776483956,ETH/USDT,Binance
1641117600000,0.08844999999999999,-0.11470878578479712,-0.1788646133646531,-0.05269201974483507,Neutral,47.365399012758246,ETH/USDT,Binance
1641121200000,0.08844999999999999,-0.030479988605613215,-0.20303364100216315,-0.034674088882332914,Neutral,48.26629555588335,ETH/USDT,Binance
1641124800000,0.08844999999999999,-0.022253620628753766,0.2321019043017194,0.09833448510188969,Neutral,54.916724255094486,ETH/USDT,Binance
1641128400000,0.08844999999999999,-0.13690517661812918,-0.2115481982369668,-0.0691560124565288,Neutral,46.54219937717356,ETH/USDT,Binance
1641132000000,0.08844999999999999,-0.06973283733513952,0.15161759246764706,0.05994542653975225,Neutral,52.997271326987615,ETH/USDT,Binance
1641135600000,0.08844999999999999,0.19502807748122733,1.1981010467234303,0.45331873726139726,Greed,72.66593686306986,ETH/USDT,Binance
