timestamp,funding_rate,funding_sentiment,rsi_sentiment,bb_sentiment,sentiment_score,sentiment_label,sentiment_value,symbol,source,sentiment_value_normalized
2025-02-10 00:00:00,1.802e-05,0.004805333333333333,-1.0,0.0,-0.29807786666666664,Fear,35.09610666666667,BTC/USDT,Binance,0.29743864949104853
2025-02-10 01:00:00,2.72375e-05,0.007263333333333334,-1.0,-0.3535533905932746,-0.40316068384464904,Fear,29.841965807767544,BTC/USDT,Binance,0.2291922592270202
2025-02-10 02:00:00,3.6455e-05,0.009721333333333334,-0.6744701277601425,-0.19211816428209805,-0.25608795427933884,Fear,37.19560228603306,BTC/USDT,Binance,0.32470913980426747
2025-02-10 03:00:00,4.56725e-05,0.012179333333333334,0.03911514175530911,0.4646167120783593,0.15599128948343385,Neutral,57.799564474171696,BTC/USDT,Binance,0.5923353954070941
2025-02-10 04:00:00,5.4890000000000005e-05,0.014637333333333336,0.09118601947973887,0.45537100406402664,0.16982204039646298,Neutral,58.491102019823145,BTC/USDT,Binance,0.6013178232654606
2025-02-10 05:00:00,6.41075e-05,0.017095333333333334,0.11750282178025472,0.4338869627594828,0.1722550686952546,Neutral,58.61275343476273,BTC/USDT,Binance,0.6028979617054258
2025-02-10 06:00:00,7.332500000000001e-05,0.019553333333333336,0.16196037847427505,0.46537266237189634,0.19602124558718476,Neutral,59.80106227935924,BTC/USDT,Binance,0.6183329854972169
2025-02-10 07:00:00,8.254250000000002e-05,0.022011333333333338,0.23810483870967944,0.5720734549781563,0.25185802143968405,Greed,62.59290107198421,BTC/USDT,Binance,0.6545963680201702
2025-02-10 08:00:00,9.176e-05,0.024469333333333336,0.2991035548686261,0.6423430160624777,0.2922217046126645,Greed,64.61108523063322,BTC/USDT,Binance,0.6808106982817115
2025-02-10 09:00:00,8.961125e-05,0.023896333333333332,0.29302812134638145,0.5549889316032182,0.26396364921821325,Greed,63.198182460910665,BTC/USDT,Binance,0.6624584088366555
2025-02-10 10:00:00,8.74625e-05,0.023323333333333335,0.307891566265061,0.5404420890690496,0.26382942993356645,Greed,63.19147149667832,BTC/USDT,Binance,0.66237123966926
2025-02-10 11:00:00,8.531375e-05,0.022750333333333334,0.27986559377487097,0.4516911667546464,0.22856716149218853,Greed,61.42835807460942,BTC/USDT,Binance,0.6394700404221062
2025-02-10 12:00:00,8.316500000000001e-05,0.022177333333333337,0.17633354102890947,0.23262964003165565,0.13155988765150287,Neutral,56.57799438257515,BTC/USDT,Binance,0.5764683390329278
2025-02-10 13:00:00,8.101625e-05,0.021604333333333333,0.3300132216835644,0.7373919730664902,0.3288632917583497,Greed,66.44316458791748,BTC/USDT,Binance,0.70460770071649
2025-02-10 14:00:00,7.88675e-05,0.021031333333333332,0.10148736198558424,0.09492835438095915,0.06733724824329634,Neutral,53.36686241216482,BTC/USDT,Binance,0.5347587291219673
2025-02-10 15:00:00,7.671875e-05,0.020458333333333335,0.3742571552175605,0.06061011603553679,0.1386435147092625,Neutral,56.93217573546312,BTC/USDT,Binance,0.581068824532378
2025-02-10 16:00:00,7.457e-05,0.019885333333333335,0.3534255599473022,0.11454428360387325,0.14834508639868596,Neutral,57.417254319934294,BTC/USDT,Binance,0.587369543008258
2025-02-10 17:00:00,7.052125e-05,0.01880566666666667,0.19954562665657177,0.24732599970585856,0.14158375457539576,Neutral,57.07918772876979,BTC/USDT,Binance,0.5829783732365598
2025-02-10 18:00:00,6.64725e-05,0.017726000000000002,0.1827886645454818,0.28678859648722765,0.14796357830981283,Neutral,57.39817891549064,BTC/USDT,Binance,0.587121771292374
2025-02-10 19:00:00,6.242375e-05,0.016646333333333332,0.10505656892172822,0.14496544929935973,0.08166513879965973,Neutral,54.08325693998298,BTC/USDT,Binance,0.5440640259995118
2025-02-10 20:00:00,5.8374999999999996e-05,0.015566666666666666,0.053845014076163406,0.08459172855077779,0.04775768945474902,Neutral,52.387884472737454,BTC/USDT,Binance,0.5220427185869865
2025-02-10 21:00:00,5.432625e-05,0.014487,-0.014650268535292952,0.05954387664475114,0.019262882432837455,Neutral,50.96314412164187,BTC/USDT,Binance,0.5035366699984546
2025-02-10 22:00:00,5.02775e-05,0.013407333333333334,-0.10450755872280439,-0.030925621640389922,-0.03526702077562496,Neutral,48.236648961218755,BTC/USDT,Binance,0.46812204032478283
2025-02-10 23:00:00,4.622875e-05,0.012327666666666666,-0.08617551090503611,-0.024656761297242036,-0.028318614994016778,Neutral,48.58406925029916,BTC/USDT,Binance,0.47263470591007334
2025-02-11 00:00:00,4.218e-05,0.011248000000000001,0.010544100622637559,0.5643345078275082,0.17696278253504372,Neutral,58.84813912675219,BTC/USDT,Binance,0.6059554023469099
2025-02-11 01:00:00,4.577e-05,0.012205333333333334,0.09556927873373866,0.8712012107221099,0.2949132801700879,Greed,64.74566400850439,BTC/USDT,Binance,0.6825587511113755
2025-02-11 02:00:00,4.936e-05,0.013162666666666668,0.11990929427266579,0.40398884107487043,0.16243450727092754,Neutral,58.121725363546375,BTC/USDT,Binance,0.5965199649446298
2025-02-11 03:00:00,5.295e-05,0.01412,-0.23718397510696462,0.0855973868247566,-0.0398279764846624,Neutral,48.00860117576688,BTC/USDT,Binance,0.4651599122466145
2025-02-11 04:00:00,5.654e-05,0.015077333333333333,0.3769563130100829,0.8639614773277897,0.3783062704346951,Greed,68.91531352173476,BTC/USDT,Binance,0.7367186100847336
2025-02-11 05:00:00,6.013e-05,0.01603466666666667,0.49697500730171273,1.197789897202501,0.5148433380179307,Greed,75.74216690089654,BTC/USDT,Binance,0.825393069430537
